Year,VideoCategoryId,Duration,Category Title,Duration_minutes
2013,1,6977.945054945055,Film & Animation,116.29908424908425
2013,2,483.06,Autos & Vehicles,8.051
2013,10,249.54255319148936,Music,4.159042553191489
2013,15,298.5656565656566,Pets & Animals,4.976094276094276
2013,17,226.2244897959184,Sports,3.770408163265307
2013,19,691.734693877551,Travel & Events,11.528911564625849
2013,20,503.8085106382979,Gaming,8.396808510638298
2013,22,576.5967741935484,People & Blogs,9.609946236559141
2013,23,277.93939393939394,Comedy,4.632323232323232
2013,24,230.94791666666663,Entertainment,3.849131944444444
2013,25,706.4183673469388,News & Politics,11.773639455782313
2013,26,404.9795918367347,Howto & Style,6.7496598639455785
2013,27,646.1818181818181,Education,10.76969696969697
2013,28,653.1632653061224,Science & Technology,10.886054421768707
2013,29,772.03125,Nonprofits & Activism,12.8671875
2014,1,7705.152777777777,Film & Animation,128.41921296296294
2014,2,475.8541666666667,Autos & Vehicles,7.930902777777778
2014,10,245.16326530612244,Music,4.086054421768707
2014,15,340.07216494845363,Pets & Animals,5.66786941580756
2014,17,344.2323232323232,Sports,5.737205387205387
2014,19,831.9090909090909,Travel & Events,13.865151515151515
2014,20,577.6170212765958,Gaming,9.62695035460993
2014,22,480.609756097561,People & Blogs,8.010162601626016
2014,23,399.6907216494845,Comedy,6.661512027491408
2014,24,346.66,Entertainment,5.777666666666667
2014,25,993.6041666666666,News & Politics,16.560069444444444
2014,26,337.5,Howto & Style,5.625
2014,27,463.25,Education,7.720833333333333
2014,28,519.6595744680851,Science & Technology,8.660992907801418
2014,29,817.4583333333334,Nonprofits & Activism,13.624305555555557
2015,1,6726.608108108108,Film & Animation,112.11013513513514
2015,2,503.6145833333333,Autos & Vehicles,8.393576388888889
2015,10,254.979797979798,Music,4.2496632996633
2015,15,250.76041666666663,Pets & Animals,4.1793402777777775
2015,17,511.9278350515464,Sports,8.53213058419244
2015,19,463.30120481927713,Travel & Events,7.721686746987952
2015,20,458.6521739130435,Gaming,7.644202898550725
2015,22,581.6,People & Blogs,9.693333333333333
2015,23,302.2808988764045,Comedy,5.038014981273408
2015,24,704.4893617021277,Entertainment,11.741489361702127
2015,25,590.4659090909091,News & Politics,9.841098484848485
2015,26,415.6703296703297,Howto & Style,6.927838827838828
2015,27,446.659793814433,Education,7.444329896907217
2015,28,352.53846153846155,Science & Technology,5.875641025641026
2015,29,779.7934782608696,Nonprofits & Activism,12.996557971014493
2016,1,5412.826666666667,Film & Animation,90.21377777777778
2016,2,624.1170212765958,Autos & Vehicles,10.40195035460993
2016,10,243.34408602150535,Music,4.055734767025089
2016,15,518.5257731958762,Pets & Animals,8.64209621993127
2016,17,691.9897959183673,Sports,11.533163265306122
2016,19,421.4835164835165,Travel & Events,7.024725274725275
2016,20,669.0909090909091,Gaming,11.151515151515152
2016,22,518.0,People & Blogs,8.633333333333333
2016,23,365.967032967033,Comedy,6.09945054945055
2016,24,406.5813953488372,Entertainment,6.776356589147286
2016,25,709.0823529411765,News & Politics,11.818039215686275
2016,26,345.7204301075269,Howto & Style,5.762007168458782
2016,27,511.5806451612903,Education,8.526344086021505
2016,28,344.1860465116279,Science & Technology,5.736434108527132
2016,29,872.7272727272727,Nonprofits & Activism,14.545454545454545
2017,1,4847.417910447762,Film & Animation,80.7902985074627
2017,2,464.2978723404256,Autos & Vehicles,7.738297872340427
2017,10,243.93478260869568,Music,4.065579710144928
2017,15,601.7010309278351,Pets & Animals,10.028350515463918
2017,17,483.7052631578948,Sports,8.061754385964914
2017,19,476.0919540229885,Travel & Events,7.934865900383142
2017,20,1028.388888888889,Gaming,17.139814814814816
2017,22,337.8,People & Blogs,5.63
2017,23,467.3263157894737,Comedy,7.788771929824562
2017,24,405.0,Entertainment,6.75
2017,25,1285.55,News & Politics,21.425833333333333
2017,26,460.9666666666666,Howto & Style,7.682777777777776
2017,27,813.1739130434783,Education,13.552898550724638
2017,28,640.3370786516854,Science & Technology,10.672284644194756
2017,29,944.8969072164948,Nonprofits & Activism,15.74828178694158
2018,1,4118.5,Film & Animation,68.64166666666667
2018,2,545.1340206185567,Autos & Vehicles,9.08556701030928
2018,10,235.86813186813183,Music,3.9311355311355305
2018,15,568.2315789473685,Pets & Animals,9.470526315789474
2018,17,492.7604166666667,Sports,8.21267361111111
2018,19,620.3793103448276,Travel & Events,10.339655172413792
2018,20,1121.453488372093,Gaming,18.690891472868216
2018,22,545.3928571428571,People & Blogs,9.089880952380952
2018,23,573.3809523809524,Comedy,9.556349206349207
2018,24,666.0987654320987,Entertainment,11.10164609053498
2018,25,1261.772151898734,News & Politics,21.0295358649789
2018,26,538.0581395348837,Howto & Style,8.967635658914729
2018,27,833.3695652173913,Education,13.889492753623188
2018,28,534.0795454545455,Science & Technology,8.901325757575759
2018,29,725.25,Nonprofits & Activism,12.0875
2019,1,1396.5245901639344,Film & Animation,23.275409836065574
2019,2,745.7582417582418,Autos & Vehicles,12.42930402930403
2019,10,239.6489361702128,Music,3.9941489361702134
2019,15,696.3793103448276,Pets & Animals,11.60632183908046
2019,17,627.1195652173913,Sports,10.451992753623188
2019,19,1071.1744186046512,Travel & Events,17.852906976744187
2019,20,1608.6835443037974,Gaming,26.81139240506329
2019,22,786.4137931034483,People & Blogs,13.106896551724137
2019,23,839.7051282051282,Comedy,13.995085470085469
2019,24,481.9574468085106,Entertainment,8.032624113475176
2019,25,1536.5795454545455,News & Politics,25.60965909090909
2019,26,665.2,Howto & Style,11.086666666666668
2019,27,935.1379310344828,Education,15.585632183908046
