Year,VideoCategoryId,Duration,Category Title,Duration_minutes
2021,2,1029.78,Autos & Vehicles,17.163
2021,10,227.47,Music,3.791166666666667
2021,15,560.43,Pets & Animals,9.340499999999999
2021,17,2157.86,Sports,35.964333333333336
2021,19,1470.28,Travel & Events,24.504666666666665
2021,20,941.87,Gaming,15.697833333333334
2021,22,806.66,People & Blogs,13.444333333333333
2021,23,1118.1,Comedy,18.634999999999998
2021,24,1168.6,Entertainment,19.476666666666667
2021,25,1565.0,News & Politics,26.083333333333332
2021,26,764.08,Howto & Style,12.734666666666667
2021,27,1200.05,Education,20.000833333333333
2021,28,1065.26,Science & Technology,17.75433333333333
2021,29,1201.82,Nonprofits & Activism,20.03033333333333
2022,1,940.46,Film & Animation,15.674333333333333
2022,2,861.78,Autos & Vehicles,14.363
2022,10,201.97,Music,3.3661666666666665
2022,15,465.11,Pets & Animals,7.751833333333334
2022,17,754.52,Sports,12.575333333333333
2022,19,1045.4,Travel & Events,17.423333333333336
2022,20,988.91,Gaming,16.481833333333334
2022,22,326.4,People & Blogs,5.4399999999999995
2022,23,1056.31,Comedy,17.605166666666666
2022,24,385.65,Entertainment,6.427499999999999
2022,25,1181.12,News & Politics,19.685333333333332
2022,26,749.07,Howto & Style,12.4845
2022,27,1715.32,Education,28.588666666666665
2022,28,737.24,Science & Technology,12.287333333333333
2022,29,603.99,Nonprofits & Activism,10.0665
2023,1,1728.67,Film & Animation,28.81116666666667
2023,2,606.18,Autos & Vehicles,10.103
2023,10,200.5,Music,3.341666666666667
2023,15,194.23,Pets & Animals,3.2371666666666665
2023,17,715.47,Sports,11.9245
2023,19,621.41,Travel & Events,10.356833333333332
2023,20,979.03,Gaming,16.317166666666665
2023,22,85.49,People & Blogs,1.4248333333333332
2023,23,253.81,Comedy,4.230166666666666
2023,24,246.27,Entertainment,4.1045
2023,25,748.98,News & Politics,12.483
2023,26,192.12,Howto & Style,3.202
2023,27,350.0,Education,5.833333333333333
2023,28,662.88,Science & Technology,11.048
2023,29,524.12,Nonprofits & Activism,8.735333333333333
