,words,numbers
97,crash,47
69,history,44
116,chemistry,31
74,us history,28
157,us,12
121,course chemistry,11
119,course,10
229,revolution,9
782,ausbildung,9
198,crash course,7
567,erklärt,7
603,universum,6
123,the,6
486,ph,6
801,klasse,6
802,6b,6
212,computer,5
365,chemical,5
830,teil,5
206,mathe,5
21,ted,5
38,how,5
566,wissen2go,5
829,aluminium,4
914,potentiometrische,4
1068,ersatz,4
598,industrie,4
260,world,4
172,america,4
1096,schulfilm,4
1097,biologie,4
969,kanzlei,4
918,universedokus,4
355,industrial,4
783,ota,4
915,messung,4
364,atomic,4
862,chemielaborant,4
375,reactions,4
911,führungskräfte,4
37,become,4
1066,rekonstruktion,4
475,equilibrium,4
43,stress,4
1000,berlin,3
492,solutions,3
644,brain,3
558,science,3
231,revolution crash,3
241,what,3
370,cities,3
461,hoch,3
578,unplugged,3
430,biology,3
886,hochschule,3
401,10,3
804,klasse 6b,3
2,colors,3
317,progressive,3
162,climate,3
86,nucleus,3
1098,trailer,3
14,20,3
1067,mitralklappe,2
822,howard,2
821,sustainability,2
816,gebäuden,2
815,architekturgeschichte,2
813,hemmeligheten,2
1169,projektmanagement,2
806,programming,2
805,agile,2
1182,landschaftsformen,2
1187,medi,2
1197,trier,2
800,vennskap,2
1170,einführung,2
831,erzeugt,2
793,berufsreifeprüfung,2
833,teil aluminium,2
1164,augenoptiker,2
834,geschichte,2
842,kolostoma,2
1163,augenoptikerin,2
843,stomabeutel,2
844,wechsle,2
1156,kinderorthopädie,2
847,orientierung,2
848,sternen,2
854,speed,2
859,geschäftsmodell,2
860,innovationen,2
1155,kinderurologie,2
1198,innenarchitektur,2
1201,pharmakant,2
792,wifi,2
1219,ßstoffe,2
699,bismarcks,2
700,otto,2
705,spark,2
713,entsteht,2
714,erde,2
715,planet,2
718,basaltemperaturmethode,2
719,ovulationstest,2
721,vs,2
725,buildings,2
740,gis,2
741,tedxredding,2
747,forensic,2
748,bible,2
749,artistry,2
870,dekubitusprophylaxe,2
754,spiraltape,2
755,gitterpflaster,2
762,schmetterlingseffekt,2
763,mobile,2
769,slowest,2
776,mole,2
1210,bauchaortenaneurysma,2
777,melonoma,2
1207,visite,2
1206,schilddrüsenerkrankungen,2
785,tower,2
1205,endokrinologie,2
786,eiffel,2
1203,aortenklappe,2
864,mach,2
1146,studieren,2
871,physikalische,2
1087,krebs,2
946,projekt,2
954,tedxlinz,2
968,anwaltskosten,2
974,verkehrsrecht,2
975,geblitzt,2
991,spiegelneuronen,2
1090,funktionieren,2
992,berufsvideo,2
993,eventmanager,2
994,macht,2
997,magenspiegelung,2
1089,geigerzähler,2
1005,kühlturms,2
1006,kamineffekt,2
1012,diabetes,2
941,selbsthilfe,2
1013,diabetestherapie,2
1086,strahlentherapie,2
1071,bernhard,2
1018,autismus,2
1020,neue,2
1025,efectos,2
1026,krokodil,2
1027,del,2
1030,switzerland,2
1038,operationstechnischer,2
1043,were,2
1069,rekonstruktion ersatz,2
1051,entziffert,2
1060,netzneutralität,2
943,zukunft,2
940,atembeschwerden,2
1061,uebermorgen,2
912,gunkl,2
873,ursachen,2
877,erektionsproblemen,2
878,sextalk,2
885,mba,2
1140,hamburg,2
894,irregular,2
895,unregelmäßige,2
1139,bundeswehr,2
901,pharmazeutisch,2
904,assistent,2
909,selvbildet,2
1134,industrielle,2
1130,seite,2
1124,aed,2
1123,defibrillator,2
932,prüfungsfragen,2
1115,ersteinschätzung,2
1110,synthetische,2
1104,syndrom,2
1103,restless,2
916,potentiometrische ph,2
917,ph messung,2
919,lichts,2
920,grenzen,2
921,hd,2
922,hd universedokus,2
923,universum grenzen,2
693,destination,2
924,lichts hd,2
925,frädrich,2
694,geographic,2
614,visible,2
692,ireland,2
222,writing,2
242,is,2
238,cancer,2
232,awakening,2
228,taxes,2
