,words,numbers
4,shorts,27
242,harald,23
243,lesch,22
53,lernen,20
247,harald lesch,17
140,einfach,17
321,erklärt,14
479,schreiben,13
55,deutsch,13
17,mathe,12
281,prüfung,11
412,studieren,9
54,german,9
58,deutsch lernen,9
26,wirklich,8
434,lesch terra,8
721,einfach erklärt,7
414,uni,7
332,funktioniert,7
107,universum,6
330,quantenmechanik,6
336,b2,6
524,quarks,5
11,passiert,5
433,lesch co,5
382,modelltest,5
558,beruf,4
298,biologie,4
542,goethe,4
572,milliarden,4
437,antike,4
207,verbs,4
791,lehrerschmidt,4
796,zusammenfassen,4
113,berechnen,4
467,lösung,4
531,alpha,4
278,telc,4
909,mrna,4
401,trigonometrie,4
111,tricks,4
57,wortschatz,4
810,universums,4
410,gymnasium,4
10,wissensbert,4
13,shorts wissensbert,4
21,fact,4
24,mathe fact,4
385,hören,4
38,rätsel,4
602,geschichte,4
338,online,4
603,sachsens,4
420,b1,3
771,schreiben einfach,3
331,quantenphysik,3
480,tipps,3
333,funktioniert quantenmechanik,3
478,erörterung,3
471,signs,3
267,timeline,3
274,physik,3
774,angeschrien,3
411,klasse,3
334,quantenmechanik quantenphysik,3
335,quantenphysik erklärt,3
386,hören modelltest,3
238,schlacht,3
453,deutschen,3
773,gesundheit,3
419,sprechen,3
850,studium,3
316,wichtige,3
518,a2,3
63,mindblownuniversity,3
133,nachhilfe,3
116,rechnen,3
595,digital,3
97,mensch,3
83,deshalb,3
68,shorts mindblownuniversity,3
65,kolorz,3
201,welt,3
197,tun,3
49,with,3
653,effizienteste,2
659,buchhaltungssoftware,2
618,schuld harald,2
672,bionik,2
666,medikamente,2
625,technischen,2
665,vorhofflimmern,2
626,jobs,2
638,mobiles,2
639,mobile,2
658,papierkram,2
654,museum,2
644,lineare,2
652,motor,2
679,friedrich,2
802,seminarmanager,2
799,terme zusammenfassen,2
678,große,2
760,argumentation,2
762,intervall,2
723,possessivartikel,2
754,excel,2
763,monotonieverhalten,2
753,pivot,2
742,co2,2
739,ungelöste,2
765,ableitung,2
769,interpretation,2
738,antimaterie,2
730,kleiner,2
724,possessive,2
803,seminaranbieter,2
718,textgebundene,2
779,gesundheit vier,2
709,strategy,2
704,suzanna,2
772,hypochondrie,2
701,telescope,2
696,stress,2
695,pharmazie,2
775,teil,2
693,machst,2
776,augen,2
778,teil gesundheit,2
692,bachelor,2
788,szenenanalyse,2
0,krass,2
811,evolution,2
1059,joanneum,2
1111,migräne,2
1105,artenschutz,2
1104,artenvielfalt,2
1095,armin,2
1074,materialgestützes,2
1066,podcast,2
1060,department,2
1056,germanistik,2
821,scheitelpunktform,2
1043,data,2
1042,computational,2
1035,graph,2
1034,linearefunktion,2
1032,pons,2
1031,vokabeltrainer,2
1026,zuse,2
1113,lichtgeschwindigkeit,2
1114,optische,2
1119,bericht,2
1121,fermi,2
1210,jahrtausendsommer,2
1203,duale,2
1202,medizinische,2
1195,künstliches,2
1194,kniearthrose,2
1192,aufgehalten,2
1191,wissenschaft,2
1182,interstellare,2
1175,eurefragen,2
1166,digitalkonzerne,2
1155,seitennummerierung,2
1146,entdeckung,2
1140,eiffelturm,2
1127,multiplizieren,2
1122,bubbles,2
1025,z3,2
1017,розговоритися,2
1009,hält,2
895,milchstraße,2
888,schwangerschaft,2
882,kaplan,2
875,kostenlos,2
871,technologies,2
870,interactive,2
616,teurer erneuerbare,2
865,alphabet,2
860,entschuldigung,2
859,abwesenheit,2
849,hebammenwissenschaft,2
847,b2 beruf,2
845,beruf prüfung,2
835,universidad,2
828,differentialquotient,2
822,quadratische,2
894,lochs,2
901,gravitation,2
994,funktionsgleichung,2
910,kompetenzzentrum,2
987,archaeologists,2
986,pompeii,2
978,einstein,2
972,passt,2
971,weiterbildung,2
962,chancroid,2
954,sentences,2
937,body,2
936,positivity,2
922,textanalyse,2
915,kompetenzzentrum wacker,2
914,neuen mrna,2
913,mrna kompetenzzentrum,2
912,wacker,2
911,bewege,2
617,erneuerbare schuld,2
514,reflexive,2
615,strom,2
255,multiplication,2
209,german verbs,2
212,supernova,2
213,explosion,2
214,größte,2
218,menschliches,2
219,gehirn,2
226,pythagoras,2
232,ausbricht,2
233,supervulkan,2
236,1916,2
237,verdun,2
241,leben,2
249,recruitee,2
250,hiring,2
257,kids,2
614,teurer,2
264,propeller,2
265,deutschland,2
271,bio,2
279,test,2
282,speaking test,2
283,test level,2
285,german speaking,2
287,schnelles,2
289,formel,2
294,englisch lernen,2
295,a1,2
296,lernen a1,2
299,orcas,2
305,gunankhand,2
194,ort,2
193,extremste,2
186,100,2
184,archäologische,2
6,jjchemistry shorts,2
9,sauerstoff,2
18,mathematiker,2
31,lieblingsfach,2
33,newton,2
45,nucamp,2
46,tech,2
62,anhalten,2
70,schwefelsäure,2
76,erwachsene,2
