,words,numbers
26,geschichte,44
14,harald,29
53,musstewissen,28
34,lehrerschmidt,26
15,lesch,19
805,nicos,19
36,einfach,19
408,deutsch,17
19,harald lesch,16
55,musstewissen geschichte,13
806,a2,12
807,folge,11
266,remake,8
65,erklärt,8
506,nguyen,8
809,nicos a2,8
32,bruchrechnung,7
411,musstewissen deutsch,7
193,mathematik,7
203,weimarer,7
505,mai,6
243,wissenschaft,6
252,maßeinheiten,6
340,kommazahl,6
998,a2 folge,5
468,erklärt lehrerschmidt,5
274,berechnen,5
174,ab,5
42,lernen,5
33,brüche,5
170,seitenzahlen,4
510,thi nguyen,4
549,wahrscheinlichkeitsrechnung,4
914,häusser,4
130,wimmer,4
129,johannes,4
171,seite,4
367,deutschen,4
113,warum,4
321,zinsrechnung,4
104,deutschland,4
887,französisch,4
50,weltkrieg,4
734,b1,4
746,quarks,4
512,intelligenz,4
256,maßeinheiten umrechnen,4
417,große,4
136,nationalsozialismus,4
179,wirklich,3
614,berichtet,3
594,schule,3
818,clip,3
24,weltkriegs,3
196,mathematik lehrerschmidt,3
206,weimarer republik,3
220,erstellen,3
483,episode,3
482,arzneitee,3
16,universum,3
623,tipps,3
197,lehrerschmidt einfach,3
741,künstliche,3
745,künstliche intelligenz,3
135,johannes wimmer,3
317,diktatoren,3
596,klasse,3
120,fermi,3
334,gehirn,3
405,com,3
132,dr,3
138,zusammenfassung,3
146,signs,3
916,philip,3
67,einfach erklärt,3
1099,pflanzen,3
810,verstehen,2
832,karteikarten,2
780,bank,2
783,management,2
824,kaiserin,2
796,phase6,2
792,dramentheorie,2
794,nebensatz,2
804,lebenslinien,2
797,classic,2
779,schülerpraktikum,2
800,symptome,2
815,lernens,2
799,polyneuropathie,2
801,therapiemethoden,2
0,schülerantworten,2
776,testen,2
663,nano,2
685,orbitalmodell,2
676,literatur,2
675,realismus,2
669,mankevich,2
668,genie,2
664,gefährlich,2
660,wissenschaft harald,2
767,wissen2go,2
658,einstein,2
649,möglichkeiten,2
646,lampenfieber,2
641,schnell,2
638,zusammengefasst,2
635,nelly,2
699,klugscheißerin,2
700,sprachstil,2
705,portal,2
713,phlogiston,2
714,chemie,2
719,größen,2
726,medikament,2
732,bestanden,2
733,prufung,2
737,neuronale,2
860,relativitätstheorie,2
747,iq,2
757,luke,2
760,energieformen,2
761,überblick,2
764,dreißigjährige,2
765,krieg,2
851,belagerungshaubitze,2
920,angekommen,2
869,hambacher,2
1093,nanotechnologien,2
1084,modern,2
1078,gehirnübungen,2
1077,kräftigst,2
1070,doping,2
1066,läuft,2
1064,galle,2
1063,abendvisite,2
1059,vergesse,2
1037,realistische,2
1036,interstellare,2
1034,geld,2
1027,alcoholic,2
1012,zeigen,2
1011,satzglieder,2
1003,geschrieben,2
