Video_ID,Video_Views,Comment/View,Like/View,Seconds
KHCfr7qvkJs,6675690,8.860956695113165,42.06890973067952,984
SDoUH4pmZkw,3193107,5.939043069962892,90.45985618396126,310
7L7K9YYFn8E,4760516,3.632169285850525,57.39650911791915,923
jWAWc9_21J0,4304961,3.958688592068546,66.75345026354478,631
0uFDfQu7D5k,3536631,3.708614215053818,62.70345987466603,775
pTzk2ZVqi3w,4803328,3.759893140755743,64.66370816234078,688
nqGrAloUFPE,4247415,4.163473548028625,57.90086440811647,905
_VP8ftQXAQE,3830353,4.728284834322059,77.29679222776595,1406
mqyiJtbCoUE,2643377,4.089844165247712,55.7408194139542,1672
TNuurt3mpr8,5256746,3.0811836828334487,53.01207248742853,905
ydjU1re1Knw,9603826,1.8697756498295568,41.162969841394464,1353
CAJFYbKm81M,2188352,6.608626034568479,89.12780028075922,338
QFI7OI7MX4Y,4098150,5.399997559874578,65.80286226712053,725
MIZyoTRNAG8,4074976,4.125177669758055,53.25798237830112,1087
thsBniaLY-8,4376828,3.826058506297256,59.77319647927677,761
qJuElc3mEyw,4120837,3.3318473892561147,53.7461200236748,757
Fo3HwJNgi9M,8405609,2.567928153688805,39.3199350576502,1002
7RoV0KaJoLc,7224914,3.988421177054841,39.567806620258736,930
S79GcTt_8pc,13517114,1.7301030382668965,39.95090963943931,1232
Bs1jHoDh5WY,4695586,4.281041812459616,53.25639866887754,1077
CYowCBOR2SI,7272433,3.342760256436876,55.13189327423161,858
M_2vWZKcxOI,4774288,3.716575120730044,61.8955119590607,846
tGCyIxMYXrk,6917784,2.4818641345263166,36.04781531195539,1292
KjMK0YY93Os,4844080,2.336253736519628,47.07354131228221,849
VCw8T9kNNnI,2347823,3.5300787154738664,85.24620467556541,137
VGjDZwdqjjE,6781197,2.055831735901493,40.43297960522309,961
TGr1IP-1e7E,11890245,1.6951711255739474,40.64516753018967,1225
6UxluH5NzVY,4389530,3.188951892343827,47.86913405307629,780
jJXy3Aya8H4,4469729,2.722312695020213,49.15465792221408,802
SKbGs4eKFw8,6492159,2.510412945832041,40.28813835274213,1176
o-cq5uR9gEk,5025620,4.353293722963535,65.04670070558458,631
_zz8tyRHKZY,4447974,6.268921535962216,94.06507322210066,623
CZAgIPqD_D0,7203079,3.2823463410577616,47.81732922823698,917
BNgmYFwUjjw,7323629,3.2511204486191203,42.84023671870872,866
-1is7e6ErkU,3866255,6.606910304674678,83.82556246290015,377
d1vXEDJ3PK0,6853795,2.7513224425300145,47.841086580500296,790
Y-yllQHbRLA,10655269,1.2272801371790802,31.483954088817462,1162
faDDENDHyF8,8539638,2.626926340437381,37.529225477707605,1032
6exhT930Ag4,5554778,3.1877061513529434,44.10113239448993,1003
NMT_vIYjDbU,7634559,4.111042956115736,49.14101783744156,1638
wLVMrpByb_Q,10986666,3.680279349531514,41.792387244683695,865
4R6uNXAw9tM,5808604,3.221083757818574,46.45866717717372,898
dViWTpWxVgE,7091661,3.165971977509923,40.02743503954856,1202
jcuAlQY-QNY,8318219,3.230980093214665,39.53045718079796,1143
0FPROLM3PMg,9469652,2.1107428234955203,35.23793693791493,1047
QNODMzDhsMM,9222360,3.418322425062565,46.29791073000837,902
4VosRKPBGE8,7015348,4.764410831793376,46.417084369870174,956
5VErxiXnCVA,6802721,3.3951120441364564,45.54809759212527,1106
QZsF6ogRjAA,6908386,1.2726561602087665,43.48367332109121,1077
jdgKtzL3RQE,5657146,6.437168140967194,66.46231156134206,692
zHH_Kh56NtA,6124934,3.4116285987734725,55.396188758931935,785
wbMv0eYXxG4,5762221,5.005361647878483,56.33070998144639,818
