Video_Views,Comment/View,Like/View,Seconds,Category
2508120,1.194520198395611,44.28655726201298,1762,4
4067547,1.4106782294095188,38.29236638199878,1666,4
2471462,1.1341465092321872,41.08823036728867,1651,4
3513571,1.0334215531719724,31.88209374451235,1758,4
2642341,0.8950396636921578,34.462622348894406,1705,4
3129641,1.1541259844180212,40.92929508528295,1634,4
3661479,0.9870328356382764,32.77964997204681,1365,4
4613142,1.0337856497805618,31.888678041993938,1530,4
7005412,0.8551959542136851,26.71677268945781,1367,4
3957998,0.9211727747209574,29.414112892426928,1320,4
3167540,1.0004609255131742,33.01552624434103,1109,3
5500052,0.8516283118777787,27.43937693679987,1466,4
5194144,0.8632798782629053,27.190428297713733,1617,4
4018502,0.8819206759135618,28.388439274137475,1085,3
5373345,0.606140123144894,27.20298063868968,1577,4
5722741,0.8543108975227081,27.54099827337984,1367,4
5789540,0.8088725529143939,25.096467076831665,1828,5
3766036,0.9790134773008012,31.403045536473893,952,3
5106587,0.959936646531235,34.12259499348586,1418,4
6568109,1.0742818062245922,27.442754071225067,979,3
5724001,1.0326692815043184,29.958240748036207,973,3
7331216,1.0205673929127173,26.92145477639726,1569,4
6656440,1.1073486728641737,31.790416498909327,1191,3
4670680,1.258489127921416,36.250824291109645,1058,3
4468899,1.224910207189735,36.599618832289565,1035,3
7685175,0.9634133250056116,29.77420813449271,1164,3
26782723,0.5578222946188108,17.7636530833702,1925,5
7492517,0.8332313426849749,24.43304432942895,1130,3
6054085,0.7740228292136632,25.81314930332164,1368,4
9579917,0.7095051032279298,24.128079606535213,1282,4
8894162,0.7925423440679403,23.495524367557056,1363,4
7311466,0.7114852206110238,24.065078056849337,969,3
6357395,0.8034737498613819,28.80126215218655,947,3
8149416,0.4958637526909903,21.338584261743417,1061,3
7792062,0.950326113934925,22.39843574139939,1478,4
7396409,0.6338210880442118,25.572139128596053,1050,3
11201744,0.5079566181837399,20.782835244226256,1117,3
8055775,0.9286505643466954,23.60964649583684,1102,3
8215655,0.9609702452208618,24.68299849494654,859,3
10972603,0.6492534178079714,21.78489461434083,1188,3
9285937,0.5340333452617652,23.83507447875212,1114,3
