Video_Views,Comment/View,Like/View,Seconds,Category
230365,2.682699194756148,44.11260391118442,795,3
735163,1.881215458340532,25.07743180763994,902,3
1267269,1.8993599622495303,22.525604271863354,1877,5
1940409,1.186347826669532,18.70481944785867,1504,4
595864,3.7542123706080575,30.792261321375346,1190,3
798954,1.9575595090580933,24.81244226826576,1195,3
263576,2.1208304246213614,40.971105108204085,962,3
238804,2.90614897572905,42.93897924657878,878,3
340350,1.078301748200382,30.459820772733952,931,3
635571,1.5135995821080572,22.18162880307629,1131,3
262996,1.205341526106861,35.19064928744164,956,3
824646,3.697344072486861,24.71848526519258,1245,4
833483,1.1793881818825338,29.578287739521983,1411,4
548960,1.943675313319732,28.50845234625473,973,3
1397196,2.8385423376534145,24.860506328389143,1915,5
534014,1.4812345743744546,24.111727407895675,1391,4
477071,1.383441877624085,26.43841273101908,1451,4
1752569,0.7166622255671531,11.996104005034894,877,3
763354,3.079829279731291,28.64725933184342,1391,4
515128,1.0948735071671507,29.09179854327468,1015,3
434529,2.4693403662356253,32.066904625468034,933,3
174688,3.37172559076754,49.00164865359956,487,2
358412,2.823566175239668,33.03460821624276,1020,3
1051538,2.329920554464033,22.85033921741297,1662,4
436906,3.1814623740575776,37.536678370175736,856,3
622781,2.617292435061442,28.68263482668868,1084,3
1524560,0.9255129348795718,21.98339192947473,1088,3
1542045,2.4921451708607725,24.759329332153083,1172,3
440358,2.0869383547023106,33.49774501655471,1223,4
723953,1.541536536211605,25.869082661443493,792,3
880829,0.8923411922177857,18.194223850486303,985,3
1859880,1.3339570294857732,22.02991590855324,793,3
1356061,2.046368120608144,20.049245572286203,947,3
1412475,3.121471176481,23.27404024849997,781,3
1870177,1.8281692053746783,19.07306099903913,2667,5
985185,3.6693615919852616,24.23402711165923,705,3
2455647,2.327288897793535,21.59675230193916,825,3
622876,1.764396123787078,28.82114578182496,706,3
2468241,2.366057447388646,21.610531548580543,1139,3
1813795,2.112146080455619,22.780413442533472,1041,3
1904668,1.3787179707959605,17.7101731115344,1440,4
598548,1.655673396285678,32.126078443165795,1092,3
880928,1.2373315412837371,23.84076791746885,1299,4
409215,2.473027626064538,33.681561037596374,844,3
899433,1.416447917743734,23.04229442326444,1453,4
3017774,2.326549304222252,17.116258540235286,894,3
600722,1.5980769806998911,24.67697204364082,1668,4
230178,3.0976027248477265,42.9754364013937,759,3
725788,2.7804262401693056,31.36590850220725,1462,4
1565061,1.3533018840799176,25.808578707155824,1450,4
759075,1.2304449494450482,25.701017685999407,1032,3
675641,1.3379886655783175,24.905238136821183,1046,3
881608,1.6061560239925228,22.175388608088856,1094,3
646947,1.3030433714044585,24.940219214247843,855,3
893517,1.8287284964919528,25.41753542461979,1188,3
721488,2.541968819994234,34.29024460559289,872,3
1032927,1.314710526494128,22.139028217870187,867,3
619459,3.034906264982832,29.659751492834875,808,3
1067309,1.5440701802383376,19.554786851792684,1884,5
619682,2.2995665518766075,27.74003440474308,451,2
784395,3.820779071768688,32.43263916776624,1130,3
200067,6.4628349502916524,39.96661118525294,984,3
2764470,1.2628098695229104,15.810625544860317,1127,3
4154041,1.6627183024914776,15.603119949947532,1676,4
2353550,1.2372798538378194,17.957553483036264,1461,4
1113859,1.0611756066072997,24.187082925217645,924,3
1591539,2.712468874466789,21.460360066577067,1345,4
381660,2.9528900068123463,28.34459990567521,907,3
1396100,2.006303273404484,22.060024353556337,1055,3
84494,13.527587757710606,99.74672757828958,593,2
3255887,2.2073861899998373,23.22347182196434,982,3
197179,2.774129090826102,34.755222412123,1949,5
2223160,1.497418089566203,20.00890624156606,947,3
3451481,2.51775976747373,17.862477006247463,1461,4
2757289,1.7161784637011208,22.434717579477525,1176,3
825683,1.260774413425007,21.668122027460903,1023,3
632290,3.3497287637002007,30.892470227269133,896,3
809170,1.026978261675544,21.565307660936515,795,3
659283,2.6407476000442904,28.370214308574617,917,3
2651522,1.3988192441925806,17.63590873468144,989,3
308976,3.045543990471752,36.54976438299415,1087,3
1239817,2.247105822875473,20.519963833372184,1637,4
3554482,2.185972527079896,18.71862060350848,1114,3
1034352,3.1024254799139945,20.99285349668198,933,3
912730,2.567024202118918,27.83627140556353,1128,3
461807,2.518368062848766,24.949816698317697,944,3
2865539,0.8340490218419642,16.674349921602882,1317,4
1074872,3.229221711980589,31.5860865293728,621,3
353023,2.7476963257351503,35.754044354050585,123,1
1210981,2.76387490802911,25.664316781188145,742,3
567187,3.5155953856488247,20.80971531434959,1226,4
183274,2.368039110839508,31.051867695363228,880,3
418427,2.980209212120633,26.37019121615001,501,2
96166,11.532142337208576,87.3177630347524,334,2
2538932,2.904764680582229,20.79378258259772,1278,4
1323205,1.5235734447799094,24.854047558768293,582,2
268405,2.0975764236880834,27.76401333805257,844,3
2709057,2.699463318785836,21.871448256718114,842,3
228878,5.046356574244794,26.74787441344297,1299,4
1467895,1.2173895271800776,15.316490620923158,699,3
1347784,2.092323399001621,15.228701334932008,1858,5
390632,1.973724630854615,22.622314608122224,867,3
1547702,3.516826882694472,20.200271111622264,883,3
576657,2.56478287786327,17.471391138926606,783,3
3818503,1.7766124578139653,14.158951819600508,832,3
790478,2.4580064214310835,18.864535129377416,1065,3
215915,1.9498413727624293,30.22948845610541,465,2
439392,4.212639283373389,20.143744082732503,864,3
157005,3.999872615521799,28.61055380401898,1441,4
1447832,1.787500207206361,19.731571066256308,792,3
1518574,1.4190944925963436,20.61144205023924,679,3
311613,6.954138627079101,31.465311139137327,1395,4
2077769,0.6102699578249555,12.042724672473216,655,3
81031,3.9120830299515,41.35454332292579,760,3
1376051,2.6358034694935,18.61340895068569,1068,3
646251,2.328816512469613,25.635550273810026,487,2
286575,4.079211375730612,23.850649917124663,705,3
1711721,1.6042334001861285,19.75321912858462,1091,3
615783,2.5707107861048453,28.159270392329766,476,2
5430208,1.5301439650193878,20.075474088653696,888,3
1497044,0.8209511544082873,14.54733461407948,766,3
146176,3.304235989492119,32.009358581436075,704,3
816667,0.8999996326532111,15.167748911122894,899,3
96843,4.564088266575798,28.98505829022232,505,2
716968,3.365561642918512,19.72054540788432,703,3
330367,2.058316962650628,23.4587595007976,729,3
2852839,2.9616112230658653,13.153563870936988,1195,3
1021698,1.2322623710724696,18.6747943129966,1289,4
258615,5.003576745355065,24.88254741604316,1085,3
2798820,1.6907125145597073,14.32639469490714,831,3
693796,4.302417425295044,27.054062000933992,1153,3
3849369,3.787893548267261,15.504878851572816,900,3
477555,4.428809247102428,25.772947618598906,953,3
595838,1.392996082827883,21.631718688636845,815,3
1888985,1.237701728706157,15.05094005510896,1050,3
968485,2.0557881639880846,17.185604320149512,785,3
3367711,1.468059462346977,18.74181008999881,1113,3
53054,8.915444641308856,49.83601613450447,643,3
925621,1.6756318190706565,18.42762858664616,689,3
181701,2.1408797970291853,27.49572099217946,513,2
1576354,2.059182138022297,14.988384588740852,507,2
20951845,1.433286662821341,13.778738817512252,1068,3
395400,2.731411229135053,17.55690440060698,820,3
829123,1.660790980349116,17.666860043684714,602,3
1017148,1.4393185652432094,15.43138265031244,897,3
2942972,1.923225909047045,11.97089200984583,1914,5
1220364,2.4853240508569576,15.719899964272956,1014,3
1681712,3.200310160122542,11.791555272246375,847,3
152230,5.05156670827038,24.77829599947448,612,3
1310658,1.6014856659784626,14.52629137425629,663,3
4085080,1.3047480098308968,11.01324821056136,768,3
118846,3.256314894906013,25.31847937667233,626,3
3010803,1.3182529710512445,14.827605791544649,793,3
