Video_Views,Comment/View,Like/View,Seconds,Category
215873,5.711691596447912,70.50441694885419,1638,4
213900,1.552127162225339,55.876577840112205,988,3
272759,1.5801495092737543,61.56717101910478,1026,3
387059,2.103038554845644,47.509552807194765,1316,4
122934,0.3741845217759122,71.85156262710072,28,1
295885,0.9902495902124137,53.226760396775774,1252,4
214584,2.5071766767326547,49.672855385303656,2365,5
286008,1.9929512461189896,46.95323207742441,2244,5
269998,2.33705434855073,52.637426943903286,1370,4
289850,1.3075728825254442,62.29429015007763,1115,3
316726,0.770381970536047,53.31422112488397,1092,3
747246,3.365692154926222,37.41873492798891,1839,5
277646,1.4947090899922924,50.42392110817372,1930,5
415829,1.4284717997061291,36.87333014291932,2322,5
433505,2.3990496072709657,42.059491816703385,3794,6
294004,7.112148134038993,56.19991564740616,1838,5
336112,4.9418051125815206,48.5492930927786,1988,5
311561,1.2228744932773998,55.66486177666653,1184,3
293356,2.219146702300277,56.48768049741611,1220,4
229456,1.8304162889617184,60.582421030611535,1222,4
322323,1.166531708875879,49.99332967240935,1341,4
339904,1.7299002071173035,47.08976652231218,1882,5
326427,1.7155443636708974,49.444439338657645,1227,4
487847,1.8386912290123747,46.969644171225816,1530,4
446160,2.407208176438945,47.96485565716335,1719,4
375071,2.842128556993209,56.5199655531886,1171,3
466047,1.4955573150347496,40.9186197958575,1571,4
413121,3.964940053882519,57.90555309461393,1534,4
346340,1.5274008200034648,50.45619911070047,1858,5
348806,2.081386214686674,51.19177995791357,1508,4
371404,2.635943608577183,57.102239071200096,1302,4
285254,1.1849088882189207,46.852980151023296,1160,3
709118,1.936208078204192,35.648509838983074,2369,5
1352582,2.093773242583444,30.1364353510545,1686,4
427861,0.997987664218052,37.37662465146391,1260,4
290000,1.9896551724137927,52.98275862068966,1390,4
222499,1.0561845221776278,23.70797172122122,6067,6
545800,0.8812751923781605,35.28398680835471,2557,5
551505,1.48502733429434,35.79477973907761,1562,4
264868,1.732938671338176,57.53054351601553,1120,3
216036,1.754337240089615,61.90634894184303,1160,3
302920,2.8126237950614024,49.11857916281527,2210,5
207235,1.6309986247496804,52.97850266605544,1779,4
428977,1.4849280963781275,51.625145404065954,1233,4
241841,1.2901038285485091,55.98306325230213,1279,4
545933,1.4873620022969851,34.91820424850668,3259,5
637736,2.038461055985549,40.079280454608174,1031,3
274600,1.9956300072833213,53.769118718135466,1383,4
207512,1.6143644704884537,54.88357299818806,998,3
484813,8.714700307128728,99.77248959908252,1628,4
339984,1.208880417902019,35.07223869358558,3566,5
298622,1.1854451446979797,48.18801026046306,1802,5
99923,1.511163595968896,27.41110655204508,14717,6
151068,1.780655069240342,25.98829666110625,21289,6
463808,1.5868635297364426,47.74820615427073,1796,4
488075,1.4669876555857193,43.49331557649951,1290,4
279964,2.303867640125159,43.88064179680244,1586,4
400232,4.217553818785104,49.70367187031522,1483,4
334063,1.6344222496954168,46.12303667272341,1821,5
529972,1.37177058410633,39.9379589865125,1788,4
250289,1.7140185945047526,49.502774792340055,1235,4
349352,3.0971627470287846,52.77198928301541,2060,5
258868,2.3409614166293244,62.40632291360848,1175,3
214358,1.0916317562209017,43.99182675710727,2235,5
215210,2.9180800148691977,57.069838762139305,802,3
274181,1.6266626790331935,35.41456191348051,4457,6
117544,1.097461376165521,30.150411760702376,15671,6
155120,0.9283135636926252,27.32078390923156,19811,6
451352,1.6284407734982895,37.97922685620093,1446,4
319979,1.4250935217623657,42.44028514371256,1065,3
223384,3.1828600078788094,55.71124162876482,961,3
382027,1.3847188811262032,41.85044512560631,2170,5
392813,1.8252960059875816,47.39659838141813,1654,4
307894,1.633679123334654,58.18236146206162,1126,3
321417,2.868547712162082,49.14488032680288,1682,4
125121,1.3267157391644888,56.21758138122298,49,1
316531,1.307928765271016,46.162935067971226,1727,4
265378,1.902945986479663,58.70117342055483,950,3
366387,0.9934850308553524,44.13912065657351,1639,4
393761,1.932644421362197,44.450821691330525,1554,4
637278,3.103825959785212,54.53663864122094,1223,4
363897,1.6213379060558344,43.531548762424535,2119,5
506801,1.2943936574710784,34.36654623806977,951,3
324690,2.051187286334658,55.63152545504944,1021,3
352573,1.239459629636983,40.6809369974445,1151,3
468029,2.6387253781282785,45.92877791760767,1539,4
322165,1.837567705989167,47.88540033833595,1075,3
351855,2.0093504426539344,52.49889869406432,1266,4
562968,2.332281763794745,65.33053388469682,1322,4
490208,2.674374959200992,51.47202820027417,1121,3
325914,1.417551869511589,54.89484956154077,1290,4
297941,2.2554801118342223,54.55778157420429,1085,3
347670,1.302959703166796,29.86452670635948,3641,6
178757,0.9006640299400862,30.62257701796293,19911,6
232142,0.8400031015499134,29.29241584892005,22334,6
479117,1.2523037170461495,38.27248876579207,2043,5
510090,1.2017487110117822,42.89439118586916,1816,5
302422,2.374165900628922,46.03501068043992,1728,4
514253,2.098189023690673,47.29578631529617,863,3
500807,2.0686611808541016,43.86919511907781,1653,4
346739,1.1795615722488673,53.90509864768601,715,3
348844,1.3301074405751567,47.21594752955476,1453,4
286845,1.4816364238526034,50.006100855862925,1438,4
335392,1.3864373628470563,45.89853067455395,1598,4
522061,4.129785599767077,51.73150264049603,2208,5
377690,2.184331065159258,61.58224999338081,1295,4
907438,3.1473224616998627,47.72116662515786,3979,6
369450,2.219515496007579,49.053999187982136,1263,4
883212,2.602999053454889,44.34722354315838,2286,5
413531,3.2694042284617115,46.044915616967046,1066,3
320125,2.06794221007419,53.96329558766107,1842,5
753646,1.962459828619803,40.369085751135145,1582,4
455607,3.1518391947445936,57.75591683183095,1373,4
469222,1.6452766494324649,46.68579052133106,2186,5
333055,2.417018210205521,56.31502304424194,1315,4
381649,3.2831214021260373,49.563866275032815,1419,4
509169,2.2507261832515333,40.95496780047489,2120,5
164574,1.245640259093174,29.670543342204724,9114,6
259536,2.203933173047284,44.86468158559892,1979,5
386378,1.451946021771426,50.44800687409739,1331,4
428711,1.7517628425676035,41.69475474153917,2818,5
395645,2.8333480771904105,48.91000770893098,2253,5
451427,4.456977540111691,51.505559038338426,2041,5
281549,1.3177102387151085,43.775683806371184,2277,5
473936,1.1710441916208096,40.49069916613214,2703,5
189560,1.456003376239713,35.20257438278118,15795,6
284869,0.7477121062663891,33.355682787526895,20839,6
291301,1.222103597309999,51.78835637364788,1518,4
420153,1.4090105271175024,47.92539860479397,1319,4
443521,1.165671974945944,46.46905107086248,1203,4
220137,1.8306781685950115,39.65712261001104,2929,5
282175,1.2935235226366617,48.29272614512271,1625,4
411108,1.56163343938819,51.27119880907207,1559,4
350368,1.241551739884921,48.68309891314275,1379,4
539072,1.63429003917844,50.8058292769797,1149,3
402685,1.5520816519115437,53.59027527720178,1357,4
509120,2.078095537397863,48.70757385292269,1194,3
334370,0.4725304303615755,47.52220593952807,49,1
415964,2.930542066140339,54.72588974045831,1144,3
534633,1.8199400336305465,43.803880418904185,1458,4
437720,1.165128392579731,43.72429863839898,1147,3
579366,2.3525716041327933,40.53914106109092,2427,5
626498,1.575424023699996,43.821368942917616,951,3
573193,1.5352595024712443,43.175684280861766,809,3
1876446,2.351253380059964,37.09832310655356,1938,5
320060,1.084171717802912,45.66956195713304,1333,4
522015,1.7221727344999664,45.75539017078054,932,3
413040,1.542223513461166,46.06575634321131,1335,4
430622,1.6627111480602477,48.17217884827064,1247,4
488959,1.8038322231516344,46.36380555424893,1680,4
376957,1.2653963184129755,40.96753741142889,2044,5
362655,0.8217176104010699,59.18297004039652,61,1
414630,1.2710127101271014,46.44140559052649,1637,4
338518,1.329323699182909,52.41375643244968,974,3
366311,1.4113690279571185,48.868311352921424,1659,4
578350,2.1561338289962824,51.12648050488458,1018,3
363531,3.122154644308188,50.6834355254435,1410,4
273179,2.4489437328638,59.91675787670356,1198,3
438648,1.5798544618919954,40.91891448268316,1542,4
360280,1.701454424336627,48.60663928055956,1645,4
716925,1.368343969034418,46.48184956585417,1057,3
351242,3.387977519772692,52.66739171283616,1666,4
771121,1.8181323034906325,37.96680417210788,1387,4
378556,2.0129122243472564,48.52650598590433,2074,5
267797,2.191958834490304,56.93865129183673,1626,4
386975,1.1421926481038829,41.82182311518832,1377,4
485680,1.6698237522648658,42.3303409652446,2544,5
499112,2.84705637211688,51.11277629069227,716,3
471560,1.811010263805242,46.38010009330732,1530,4
561389,1.8347349164304965,47.375349356684936,1445,4
609554,0.8908152518070589,43.23324922812417,1578,4
349217,1.383094179263896,51.05421557369773,1169,3
422456,1.4439373567898195,48.40030677751056,1072,3
270785,1.972044241741603,56.10355078752516,1102,3
315364,1.4300934792810849,53.73790286779721,1107,3
312591,5.339245211794325,58.0119069327012,995,3
369511,3.158228036513121,52.915880718030046,1370,4
375980,3.518804191712325,52.59322304377893,1362,4
310933,2.9717012989936737,52.905288277538894,1102,3
354030,2.220150834675028,55.21565968985679,1012,3
338240,1.3392857142857142,51.058420056764426,1152,3
390667,2.04522009793507,60.61940220187525,1105,3
562705,1.9974942465412608,45.219075714628445,1027,3
2318534,0.1889124765908112,5.247712563197262,8508,6
3704023,0.969486420575682,27.311385485457297,6061,6
423252,3.976354512205495,44.83617324903367,2360,5
720997,1.8613114895068912,46.46759972648984,2763,5
505209,2.383172112927521,50.13172766122536,1059,3
257476,0.9826158554583728,24.58093181500412,6244,6
519442,2.196587876991079,42.22223077841222,1811,5
368608,1.4052869172671238,55.46000086813091,967,3
994245,2.9922202274087373,43.05276868377513,768,3
106309,2.1823175836476687,37.24990358295158,3602,6
601900,1.397242066788503,40.39043030403722,1851,5
354499,2.259526825181453,50.46276576238579,959,3
367498,1.4530691323490197,46.78937028228725,1262,4
347030,1.7347203411808778,46.49453937699911,1302,4
638082,1.7176475750765576,39.943142103992905,2385,5
318272,3.9902976070782223,63.21322642268249,1708,4
248974,3.321631977636219,46.49481471960927,734,3
311967,1.823910862366853,55.59562389611722,1545,4
243519,2.4063830748319432,47.87716769533383,754,3
403200,2.113095238095238,34.888392857142854,2083,5
381275,2.53098157497869,53.221428103075205,1232,4
291642,1.7692924887361905,57.34427825896133,1161,3
311827,1.8920747722294733,57.25289984510642,1685,4
328177,1.2249487319342915,55.99112673953385,1173,3
332190,1.7791023209608958,49.745627502333,1338,4
281878,1.2877911720673485,48.43939576696301,1424,4
260878,1.6214475731951334,49.43306833079064,801,3
513068,1.081727958087427,32.358283892193626,1056,3
361107,1.4649397546987457,39.968762721298674,1066,3
458636,3.850548147114487,43.62719019004177,1018,3
366796,1.235018920598916,38.3073970272304,1167,3
512902,1.815161570826396,36.55474145158335,1241,4
24933,0.4812898568162675,37.90157622428107,9,1
12540,1.1961722488038278,26.395534290271133,12,1
373135,0.7852385865705441,35.93873531027644,1071,3
591497,2.1606195804881514,40.613899985967805,1149,3
22233,0.449781855799937,23.70350380065668,9,1
19746,0.3038590094196293,28.96789223133799,17,1
507715,1.2546408910510818,45.27933978708528,1264,4
15162,0.2638174383326738,18.533175042870333,11,1
514602,1.5895779651070148,46.5136163481681,855,3
626786,1.520455147370873,36.20853050323396,1787,4
