Video_Views,Comment/View,Like/View,Seconds,Category,Length
992693,1.089964369649025,77.7390391591358,279,1,0-5
3068136,4.174195667988642,106.10253261263516,132,1,0-5
1328374,0.895832047299932,69.78381088458521,148,1,0-5
2240886,1.4605830015449246,75.4505137699999,271,1,0-5
6766843,3.861327948646067,88.2049428367113,95,1,0-5
2224254,1.774077960520696,90.23295001380238,284,1,0-5
2287640,1.199926561871623,66.75525869454984,264,1,0-5
1890550,1.2260982253841477,63.82798656475629,241,1,0-5
6861537,2.3808076820106048,65.23567533046896,75,1,0-5
1316919,3.50363234185246,73.29152362445981,300,1,0-5
4320279,6.508375963681975,139.20443563945756,58,1,0-5
4416315,0.9356216664798592,63.45154274547898,252,1,0-5
3273254,1.0210023420119552,64.62957045191115,127,1,0-5
4631149,4.14195267740252,73.9764581100716,46,1,0-5
4987054,3.620173352845186,98.00355079371508,122,1,0-5
6237026,4.387347431291773,113.83133563977448,162,1,0-5
7443458,5.768824113738534,111.55903613616144,201,1,0-5
2607601,0.8425368758487207,62.50917989370306,192,1,0-5
2109798,2.553798989287126,103.33406326103255,50,1,0-5
2872168,5.729469863879829,127.73521604585804,205,1,0-5
11816445,17.838529270013105,89.4017616973633,46,1,0-5
3964223,1.9264809270316023,61.305330199638114,105,1,0-5
5680134,1.1844790985564777,58.41904433944692,28,1,0-5
4635592,2.730395599957891,88.0118440104306,114,1,0-5
6937100,0.8257052658892045,53.122486341554826,284,1,0-5
4221130,0.7192386872709441,54.43542368986503,236,1,0-5
3447282,1.9963553895503765,83.10605282654566,16,1,0-5
3279434,1.5389850809621417,29.10654704439852,70,1,0-5
2137031,4.939563347466649,83.11156927531702,212,1,0-5
4931831,2.200197046492469,79.0546148073606,40,1,0-5
1983813,3.5840071619653666,81.11752468604652,75,1,0-5
26084266,1.6883357959928793,19.067394880883366,141,1,0-5
12285120,0.4736624469276653,43.88089005235602,252,1,0-5
5432782,0.865302528244277,63.43140586167456,232,1,0-5
3038917,4.457179975629476,86.44263729479943,251,1,0-5
2931051,10.783845112214015,103.89072042758724,57,1,0-5
2787776,11.222207236162449,158.9625565325191,113,1,0-5
2339909,4.445899391813955,86.0426623428518,47,1,0-5
1813763,1.4853098227276662,82.69933833692716,195,1,0-5
3757344,10.947626834274423,144.76795310730134,297,1,0-5
1467145,10.84759856728544,101.06976474717904,167,1,0-5
2095205,9.519832188258428,131.720285127231,262,1,0-5
3018962,6.356489415898577,111.08685700581856,292,1,0-5
4037908,5.388681465749096,80.38370364059806,46,1,0-5
5565860,1.0081101572802766,64.31926063537351,283,1,0-5
2407757,7.364945881166579,163.89153888868353,31,1,0-5
3346996,2.30296062499029,55.632573208931234,47,1,0-5
3391972,8.888929507672822,103.79714219339074,252,1,0-5
4702347,2.279074683344296,54.35774943873772,106,1,0-5
5226161,7.317799815198958,92.79545731560891,17,1,0-5
2288967,9.496860374133837,93.2018679168376,141,1,0-5
2536382,8.892193683758991,98.25333881095196,104,1,0-5
1922552,9.26788976318976,89.9471119636816,267,1,0-5
4459340,7.08826866756067,88.88983571559918,188,1,0-5
5709299,6.226859024198943,82.3728096916977,24,1,0-5
4499071,4.93079571315945,115.94060195982682,14,1,0-5
3617889,10.325911049233406,79.02121928008295,98,1,0-5
4666129,11.458963093390688,120.12376854561886,119,1,0-5
5719985,13.714721279863497,109.48123115707472,80,1,0-5
4530599,8.767714820932067,161.09922771801257,130,1,0-5
4417373,18.90422203422713,129.77622673023083,280,1,0-5
1072134,2.452118858277044,73.40220532134975,279,1,0-5
1489783,6.212314142395234,74.70819575736869,168,1,0-5
2294282,4.452809201310039,74.08853837496872,136,1,0-5
1303774,1.9389863580651248,66.19322060418446,107,1,0-5
7757572,2.46675119483261,38.40454203970005,108,1,0-5
7033357,2.387480117957897,76.71997880954997,22,1,0-5
1104159,5.47928332785405,71.40728826192604,38,1,0-5
4665611,3.3502578761924213,64.03105616820605,53,1,0-5
2350322,16.927467810793583,90.86967658048556,154,1,0-5
7486904,0.9902624636298262,29.23865458940037,202,1,0-5
1187648,10.955266206822223,77.23668965888884,266,1,0-5
2145505,9.576766309097392,70.0702165690595,136,1,0-5
7631278,0.8060248886228493,30.573909114567705,262,1,0-5
5280609,0.5628138724150945,28.56829581588033,114,1,0-5
1292571,7.9074959905490685,66.98897004497239,31,1,0-5
1119927,3.678811208230536,60.47090569296034,293,1,0-5
1991764,1.3857063387027782,34.235983781211026,114,1,0-5
3684139,1.6332174220353792,36.5062230279585,204,1,0-5
1122656,8.64824131345666,62.69685460194396,62,1,0-5
1109724,10.166491848423572,79.73514135046192,202,1,0-5
1141757,4.777724156716359,58.533470782311824,15,1,0-5
1719208,10.026128310245182,64.83159687484005,99,1,0-5
1010857,7.623234542571303,52.645428581886456,251,1,0-5
8753031,1.1197264124850008,22.79061961507962,189,1,0-5
3779013,0.8301109310817402,20.949650080589823,146,1,0-5
1266621,4.680958234546877,70.28306020506528,91,1,0-5
2129244,10.948486880789613,58.65790862860245,282,1,0-5
1495105,14.952795957474558,104.87557730059092,64,1,0-5
2637575,12.512629972607414,64.33485303735439,294,1,0-5
1090702,8.037942536091435,74.44379858109731,77,1,0-5
1503436,21.82932961562713,73.57014199473738,33,1,0-5
12991943,0.978144685517786,33.373607011668696,186,1,0-5
1402467,12.438082322079593,67.06467959673917,191,1,0-5
1447257,10.960734686375677,73.85764933249588,110,1,0-5
13948785,1.0671180321440183,27.58806591398462,140,1,0-5
1921881,7.775195238414866,51.533887894203644,86,1,0-5
1849222,7.16030849730319,58.885844966153336,90,1,0-5
2032988,9.625241270484626,63.99595078770755,188,1,0-5
984892,7.24140311831145,84.70776491229495,120,1,0-5
1092148,6.554056776187843,58.00495903485608,284,1,0-5
1221312,9.200761148666352,80.42007283970025,264,1,0-5
1122345,9.304625583042649,76.44084483826275,130,1,0-5
786388,4.75337873924831,60.45234667873874,37,1,0-5
2843261,0.9527792207609502,22.73762415761339,132,1,0-5
1892943,2.19129683249839,38.90185811194526,190,1,0-5
1126049,5.132991548325162,65.67653805473829,294,1,0-5
1464700,6.9304294394756605,67.95111626954325,250,1,0-5
2651537,1.0921967145847862,31.7170757941526,206,1,0-5
985062,14.560504821016345,76.09470266846148,128,1,0-5
992867,8.606389375414834,81.3271062488732,164,1,0-5
2182701,17.013782464936792,73.37376947186078,259,1,0-5
6373981,0.6333561395931365,18.525627861143608,293,1,0-5
1417957,3.3851520180090087,45.76513956347054,117,1,0-5
470102,5.962535790105126,49.42118944399301,31,1,0-5
1226766,11.250719371094403,71.93710944059421,272,1,0-5
114935801,0.4175113374813475,9.698274952640736,62,1,0-5
3672179,4.622051376035863,54.76448724313276,280,1,0-5
800832,11.112193318948291,62.202809078558296,102,1,0-5
1517489,8.807971589909384,51.37170681303127,208,1,0-5
711840,5.877725331535176,62.70931670038211,115,1,0-5
1550788,9.210156385012008,66.29597340190922,86,1,0-5
1049138,12.025110138037132,59.01511526605651,294,1,0-5
3663576,8.7201684911136,49.760943952029386,267,1,0-5
986648,5.406183360225734,67.87831121129318,29,1,0-5
1628635,4.567014708636373,59.53758822572277,30,1,0-5
1516703,5.958318800714444,38.15842653439731,132,1,0-5
714831,7.789253683737835,89.0979826000831,167,1,0-5
1162677,9.503929294206388,91.20503802861845,110,1,0-5
14405070,1.2014519887789508,26.63138742123433,165,1,0-5
2678177,10.039291652493468,65.11294809865069,127,1,0-5
740956,5.588725916248738,76.58214522859657,134,1,0-5
725652,9.424627783014447,83.01913313819847,180,1,0-5
1894730,5.044518216315781,62.88442152707773,176,1,0-5
3200705,15.449096370955774,108.71292418389072,286,1,0-5
1292975,7.950656431872233,56.155764805970726,80,1,0-5
